,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_a
0,1,15,0,165,42,,,,,,,a,1.0
1,1,798,211,132,15,,,,,,,a,1.0
2,1,32,197,192,451,,,,,,,a,1.0
3,1,343,197,192,451,,,,,,,a,1.0
4,1,190,197,192,451,,,,,,,a,1.0
5,1,244,674,82,15,,,,,,,a,1.0
6,1,15,795,16,15,,,,,,,a,1.0
7,1,715,795,42,15,,,,,,,a,1.0
8,1,762,795,50,15,,,,,,,a,1.0
9,1,817,795,67,15,,,,,,,a,1.0
10,1,889,795,86,15,,,,,,,a,1.0
11,1,299,793,43,19,,,,,,,a,1.0
12,1,346,793,43,19,,,,,,,a,1.0
13,1,392,793,73,19,,,,,,,a,1.0
14,1,680,313,270,23,,,,1.0,,,h2,
15,1,680,202,100,35,,1.0,,,,,button,
16,1,680,612,270,35,,1.0,,,,,button,
17,1,57,614,142,34,,1.0,,,,,button,
18,1,380,614,118,34,,1.0,,,,,button,
19,1,218,614,138,34,,1.0,,,,,button,
20,1,180,7,230,28,,,,,,1.0,input,
21,1,680,97,270,35,,,,,,1.0,input,
22,1,680,147,270,35,,,,,,1.0,input,
23,1,680,376,270,35,,,,,,1.0,input,
24,1,680,426,270,35,,,,,,1.0,input,
25,1,684,506,44,22,,,,,,1.0,input,
26,1,769,506,69,22,,,,,,1.0,input,
27,1,879,506,44,22,,,,,,1.0,input,
