,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,188,744,136,40,,,,,,,img,1.0,
1,1,332,744,134,40,,,,,,,img,1.0,
2,1,475,744,111,40,,,,,,,img,1.0,
3,1,287,528,38,19,,,,,,,a,,1.0
4,1,335,528,71,19,,,,,,,a,,1.0
5,1,365,528,122,37,,,,,,,a,,1.0
6,1,424,641,38,19,,,,,,,a,,1.0
7,1,188,744,136,44,,,,,,,a,,1.0
8,1,332,744,135,44,,,,,,,a,,1.0
9,1,475,744,111,44,,,,,,,a,,1.0
10,1,221,853,57,16,,,,,,,a,,1.0
11,1,294,853,52,16,,,,,,,a,,1.0
12,1,362,853,34,16,,,,,,,a,,1.0
13,1,412,853,19,16,,,,,,,a,,1.0
14,1,447,853,27,16,,,,,,,a,,1.0
15,1,490,853,47,16,,,,,,,a,,1.0
16,1,217,878,38,16,,,,,,,a,,1.0
17,1,271,878,63,16,,,,,,,a,,1.0
18,1,350,878,51,16,,,,,,,a,,1.0
19,1,417,878,61,16,,,,,,,a,,1.0
20,1,300,75,175,51,,,1.0,,,,h1,,
21,1,253,138,268,40,,,,1.0,,,h2,,
22,1,253,196,268,32,,1.0,,,,,button,,
23,1,253,463,268,30,,1.0,,,,,button,,
24,1,254,280,258,36,,,,,,1.0,input,,
25,1,254,324,258,36,,,,,,1.0,input,,
26,1,254,368,258,36,,,,,,1.0,input,,
27,1,254,412,258,36,,,,,,1.0,input,,
