,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_a
0,1,0,0,1,1,,,,,,,a,1.0
1,1,501,16,61,42,,,,,,,a,1.0
2,1,212,226,350,34,,,,,,,a,1.0
3,1,212,276,350,34,,,,,,,a,1.0
4,1,17,604,33,16,,,,,,,a,1.0
5,1,68,604,63,16,,,,,,,a,1.0
6,1,149,604,24,16,,,,,,,a,1.0
7,1,191,604,32,16,,,,,,,a,1.0
8,1,241,604,23,16,,,,,,,a,1.0
9,1,282,604,31,16,,,,,,,a,1.0
10,1,331,604,71,16,,,,,,,a,1.0
11,1,420,604,42,16,,,,,,,a,1.0
12,1,480,604,43,16,,,,,,,a,1.0
13,1,541,604,31,16,,,,,,,a,1.0
14,1,590,604,27,16,,,,,,,a,1.0
15,1,635,604,50,16,,,,,,,a,1.0
16,1,703,604,54,16,,,,,,,a,1.0
17,1,208,624,57,16,,,,,,,a,1.0
18,1,283,624,59,16,,,,,,,a,1.0
19,1,360,624,48,16,,,,,,,a,1.0
20,1,426,624,43,16,,,,,,,a,1.0
21,1,212,74,350,64,,,1.0,,,,h1,
22,1,212,186,350,24,,,,1.0,,,h2,
