,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,39,12,108,23,,,,,,,img,1.0,
1,1,60,667,610,354,,,,,,,img,1.0,
2,1,478,780,270,427,,,,,,,img,1.0,
3,1,211,1426,348,202,,,,,,,img,1.0,
4,1,229,2178,275,500,,,,,,,img,1.0,
5,1,76,3600,169,50,,,,,,,img,1.0,
6,1,301,3600,174,50,,,,,,,img,1.0,
7,1,531,3600,167,50,,,,,,,img,1.0,
8,1,79,3804,108,29,,,,,,,img,1.0,
9,1,39,11,108,28,,,,,,,a,,1.0
10,1,666,15,69,20,,,,,,,a,,1.0
11,1,39,59,135,39,,,,,,,a,,1.0
12,1,174,55,129,39,,,,,,,a,,1.0
13,1,464,55,54,39,,,,,,,a,,1.0
14,1,565,58,170,38,,,,,,,a,,1.0
15,1,160,455,214,48,,,,,,,a,,1.0
16,1,400,455,214,48,,,,,,,a,,1.0
17,1,280,3272,214,55,,,,,,,a,,1.0
18,1,62,3600,196,50,,,,,,,a,,1.0
19,1,287,3600,202,50,,,,,,,a,,1.0
20,1,517,3600,195,50,,,,,,,a,,1.0
21,1,79,3816,108,21,,,,,,,a,,1.0
22,1,79,3861,134,22,,,,,,,a,,1.0
23,1,237,3861,40,22,,,,,,,a,,1.0
24,1,300,3861,86,22,,,,,,,a,,1.0
25,1,79,3931,80,22,,,,,,,a,,1.0
26,1,603,3804,93,37,,,,,,,a,,1.0
27,1,522,3841,174,37,,,,,,,a,,1.0
28,1,39,59,135,28,,,1.0,,,,h1,,
29,1,0,247,774,63,,,1.0,,,,h1,,
30,1,126,1181,522,43,,,,1.0,,,h2,,
31,1,126,1907,522,43,,,,1.0,,,h2,,
32,1,126,2737,522,43,,,,1.0,,,h2,,
33,1,126,3126,522,43,,,,1.0,,,h2,,
34,1,39,3517,697,43,,,,1.0,,,h2,,
