,head,end
0,"(229, 12)","(880, 12)"
1,"(229, 39)","(880, 39)"
2,"(229, 40)","(880, 40)"
3,"(0, 49)","(1365, 49)"
4,"(0, 50)","(1365, 50)"
5,"(0, 51)","(1365, 51)"
6,"(228, 90)","(1365, 90)"
7,"(228, 91)","(1365, 91)"
8,"(228, 92)","(1365, 92)"
9,"(270, 100)","(1326, 100)"
10,"(269, 101)","(1326, 101)"
11,"(272, 137)","(1324, 137)"
12,"(271, 138)","(1324, 138)"
13,"(271, 178)","(1324, 178)"
14,"(269, 179)","(1326, 179)"
15,"(271, 488)","(1325, 488)"
16,"(268, 489)","(1327, 489)"
17,"(268, 490)","(1327, 490)"
18,"(267, 744)","(1328, 744)"
19,"(267, 745)","(1328, 745)"
20,"(267, 746)","(1328, 746)"
21,"(267, 981)","(1328, 981)"
22,"(267, 982)","(1328, 982)"
23,"(267, 983)","(1328, 983)"
24,"(267, 1219)","(1328, 1219)"
25,"(267, 1220)","(1328, 1220)"
26,"(267, 1221)","(1328, 1221)"
27,"(267, 1457)","(1328, 1457)"
28,"(267, 1458)","(1328, 1458)"
29,"(267, 1459)","(1328, 1459)"
30,"(267, 1695)","(1328, 1695)"
31,"(267, 1696)","(1328, 1696)"
32,"(267, 1697)","(1328, 1697)"
33,"(267, 1947)","(1328, 1947)"
34,"(267, 1948)","(1328, 1948)"
35,"(267, 1949)","(1328, 1949)"
36,"(267, 2185)","(1328, 2185)"
37,"(267, 2186)","(1328, 2186)"
38,"(267, 2187)","(1328, 2187)"
39,"(268, 2492)","(1328, 2492)"
40,"(228, 2540)","(1365, 2540)"
41,"(228, 2541)","(1365, 2541)"
42,"(228, 2542)","(1365, 2542)"
43,"(260, 2601)","(1336, 2601)"
44,"(259, 2602)","(1336, 2602)"
45,"(259, 2603)","(1336, 2603)"
