,component,x_max,x_min,y_max,y_min,height,width
0,div,866,0,1918,0,866,1918
1,div,708,22,422,2,686,420
2,div,214,22,1156,432,192,724
3,div,212,22,1890,1166,190,724
4,div,580,68,1917,1896,512,21
5,div,270,218,1156,432,52,724
6,div,562,549,57,16,13,41
7,div,595,565,57,16,30,41
8,img,43,26,1878,1841,17,37
9,img,203,157,57,16,46,41
10,img,252,206,57,16,46,41
11,img,237,220,1878,1841,17,37
12,img,239,222,1144,1107,17,37
13,img,350,309,57,16,41,41
14,img,492,456,59,14,36,45
15,img,693,647,59,14,46,45
