,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,740,100,24,24,,,,,,,img,1.0,1.0,
4,696,100,24,24,,,,,,,img,1.0,1.0,
5,107,150,16,16,,,,,,,img,1.0,1.0,
6,371,384,96,54,,,,,,,img,1.0,1.0,
7,371,607,96,54,,,,,,,img,1.0,1.0,
8,371,830,96,54,,,,,,,img,1.0,1.0,
9,371,1027,96,54,,,,,,,img,1.0,1.0,
10,371,1250,96,54,,,,,,,img,1.0,1.0,
11,371,1447,96,54,,,,,,,img,1.0,1.0,
12,371,1821,96,54,,,,,,,img,1.0,1.0,
13,517,1292,29,24,,,,,,,img,1.0,1.0,
14,517,1502,32,32,,,,,,,img,1.0,1.0,
15,517,1550,32,32,,,,,,,img,1.0,1.0,
16,517,1597,32,32,,,,,,,img,1.0,1.0,
17,567,2106,100,60,,,,,,,img,1.0,1.0,
18,552,2186,115,30,,,,,,,img,1.0,1.0,
19,577,2236,90,30,,,,,,,img,1.0,1.0,
20,617,2286,50,30,,,,,,,img,1.0,1.0,
21,-1548,0,776,30,,,,,,,a,,1.0,1.0
22,105,59,150,18,,,,,,,a,,1.0,1.0
23,321,19,148,22,,,,,,,a,,1.0,1.0
24,0,97,88,32,,,,,,,a,,1.0,1.0
25,730,97,44,32,,,,,,,a,,1.0,1.0
26,686,97,44,32,,,,,,,a,,1.0,1.0
27,0,131,774,27,,,,,,,a,,1.0,1.0
28,0,159,774,27,,,,,,,a,,1.0,1.0
29,0,187,774,27,,,,,,,a,,1.0,1.0
30,0,215,774,27,,,,,,,a,,1.0,1.0
31,0,243,774,27,,,,,,,a,,1.0,1.0
32,0,271,774,27,,,,,,,a,,1.0,1.0
33,0,299,774,27,,,,,,,a,,1.0,1.0
34,0,327,774,27,,,,,,,a,,1.0,1.0
35,0,355,774,27,,,,,,,a,,1.0,1.0
36,0,383,774,27,,,,,,,a,,1.0,1.0
37,0,411,774,27,,,,,,,a,,1.0,1.0
38,0,439,774,27,,,,,,,a,,1.0,1.0
39,0,467,774,27,,,,,,,a,,1.0,1.0
40,107,151,16,15,,,,,,,a,,1.0,1.0
41,136,151,126,15,,,,,,,a,,1.0,1.0
42,371,424,96,18,,,,,,,a,,1.0,1.0
43,107,377,196,55,,,,,,,a,,1.0,1.0
44,107,532,77,18,,,,,,,a,,1.0,1.0
45,371,647,96,18,,,,,,,a,,1.0,1.0
46,107,600,243,55,,,,,,,a,,1.0,1.0
47,107,755,77,18,,,,,,,a,,1.0,1.0
48,371,870,96,18,,,,,,,a,,1.0,1.0
49,107,823,133,29,,,,,,,a,,1.0,1.0
50,107,952,77,18,,,,,,,a,,1.0,1.0
51,371,1067,96,18,,,,,,,a,,1.0,1.0
52,107,1020,165,55,,,,,,,a,,1.0,1.0
53,107,1175,77,18,,,,,,,a,,1.0,1.0
54,371,1290,96,18,,,,,,,a,,1.0,1.0
55,107,1243,116,29,,,,,,,a,,1.0,1.0
56,107,1372,77,18,,,,,,,a,,1.0,1.0
57,371,1487,96,18,,,,,,,a,,1.0,1.0
58,107,1440,141,29,,,,,,,a,,1.0,1.0
59,107,1569,77,18,,,,,,,a,,1.0,1.0
60,107,1637,244,29,,,,,,,a,,1.0,1.0
61,107,1746,77,18,,,,,,,a,,1.0,1.0
62,371,1861,96,18,,,,,,,a,,1.0,1.0
63,107,1814,141,29,,,,,,,a,,1.0,1.0
64,107,1943,77,18,,,,,,,a,,1.0,1.0
65,562,967,93,98,,,,,,,a,,1.0,1.0
66,562,1087,94,58,,,,,,,a,,1.0,1.0
67,561,1167,96,18,,,,,,,a,,1.0,1.0
68,606,1296,36,18,,,,,,,a,,1.0,1.0
69,517,1321,39,18,,,,,,,a,,1.0,1.0
70,554,1351,103,18,,,,,,,a,,1.0,1.0
71,569,1500,75,32,,,,,,,a,,1.0,1.0
72,569,1548,59,18,,,,,,,a,,1.0,1.0
73,569,1595,59,18,,,,,,,a,,1.0,1.0
74,532,1757,97,58,,,,,,,a,,1.0,1.0
75,532,1820,94,58,,,,,,,a,,1.0,1.0
76,532,1883,119,58,,,,,,,a,,1.0,1.0
77,532,1945,115,38,,,,,,,a,,1.0,1.0
78,87,2096,124,25,,,,,,,a,,1.0,1.0
79,87,2121,103,25,,,,,,,a,,1.0,1.0
80,87,2146,109,25,,,,,,,a,,1.0,1.0
81,87,2171,88,25,,,,,,,a,,1.0,1.0
82,87,2196,195,25,,,,,,,a,,1.0,1.0
83,567,2152,100,18,,,,,,,a,,1.0,1.0
