,link
0,http://www.google.com
1,http://apple.com
2,http://www.blogger.com
3,http://play.google.com
4,http://youtube.com
5,http://adobe.com
6,http://microsoft.com
7,http://plus.google.com
8,http://en.wikipedia.org
9,http://sites.google.com
10,http://wordpress.org
11,http://support.google.com
12,http://docs.google.com
13,http://accounts.google.com
14,http://mozilla.org
15,http://maps.google.com
16,http://googleusercontent.com
17,http://github.com
18,http://creativecommons.org
19,http://linkedin.com
20,http://youtu.be
21,http://drive.google.com
22,http://vimeo.com
23,http://medium.com
24,http://bp.blogspot.com
25,http://vk.com
26,http://istockphoto.com
27,http://live.com
28,http://bbc.co.uk
29,http://dailymotion.com
30,http://amazon.com
31,http://www.yahoo.com
32,http://news.google.com
33,http://uol.com.br
34,http://photos.google.com
35,http://gstatic.com
36,http://google.co.uk
37,http://scribd.com
38,http://nytimes.com
39,http://amazon.de
40,http://google.es
41,http://usatoday.com
42,http://cnet.com
43,http://mail.ru
44,http://cnn.com
45,http://reuters.com
46,http://forbes.com
47,http://myspace.com
48,http://google.co.jp
49,http://mail.google.com
50,http://imdb.com
51,http://fr.wikipedia.org
52,http://w3.org
53,http://pt.wikipedia.org
54,http://bbc.com
55,http://msn.com
56,http://change.org
57,http://opera.com
58,http://google.com.br
59,http://developers.google.com
60,http://paypal.com
61,http://news.yahoo.com
62,http://line.me
63,http://facebook.com
64,http://hugedomains.com
65,http://whatsapp.com
66,http://es.wikipedia.org
67,http://cloudflare.com
68,http://amazon.co.jp
69,http://slideshare.net
70,http://feedburner.com
71,http://theguardian.com
72,http://nih.gov
73,http://europa.eu
74,http://wikimedia.org
75,http://dropbox.com
76,http://mediafire.com
77,http://files.wordpress.com
78,http://picasaweb.google.com
79,http://aol.com
80,http://aliexpress.com
81,http://terra.com.br
82,http://apache.org
83,http://google.de
84,http://engadget.com
85,http://yandex.ru
86,http://google.fr
87,http://draft.blogger.com
88,http://amazon.co.uk
89,http://disqus.com
90,http://ft.com
91,http://youronlinechoices.com
92,http://businessinsider.com
93,http://dailymail.co.uk
94,http://fb.com
95,http://yadi.sk
96,http://elpais.com
97,http://google.it
98,http://samsung.com
99,http://wsj.com
100,http://foxnews.com
101,http://wired.com
102,http://playstation.com
103,http://buydomains.com
104,http://un.org
105,http://hp.com
106,http://globo.com
107,http://rt.com
108,http://groups.google.com
109,http://huffingtonpost.com
110,http://tools.google.com
111,http://privacyshield.gov
112,http://steampowered.com
113,http://godaddy.com
114,http://de.wikipedia.org
115,http://issuu.com
116,http://books.google.com
117,http://nasa.gov
118,http://ebay.com
119,http://ipv4.google.com
120,http://google.ru
121,http://abril.com.br
122,http://about.com
123,http://techcrunch.com
124,http://policies.google.com
125,http://code.google.com
126,http://addthis.com
127,http://harvard.edu
128,http://cdc.gov
129,http://php.net
130,http://tinyurl.com
131,http://translate.google.com
132,http://goo.gl
133,http://myaccount.google.com
134,http://telegraph.co.uk
135,http://cbsnews.com
136,http://www.wix.com
137,http://networkadvertising.org
138,http://bing.com
139,http://oracle.com
140,http://yelp.com
141,http://amazon.fr
142,http://cpanel.net
143,http://pinterest.com
144,http://bloomberg.com
145,http://hatena.ne.jp
146,http://archive.org
147,http://booking.com
148,http://ok.ru
149,http://wikia.com
150,http://mega.nz
151,http://soundcloud.com
152,http://android.com
153,http://lefigaro.fr
154,http://rakuten.co.jp
155,http://t.me
156,http://telegram.me
157,http://elmundo.es
158,http://www.gov.uk
159,http://thesun.co.uk
160,http://washingtonpost.com
161,http://gnu.org
162,http://channel4.com
163,http://ietf.org
164,http://ted.com
165,http://id.wikipedia.org
166,http://list-manage.com
167,http://netflix.com
168,http://so-net.ne.jp
169,http://amazon.es
170,http://softonic.com
171,http://spiegel.de
172,http://fandom.com
173,http://instagram.com
174,http://ggpht.com
175,http://whitehouse.gov
176,http://themeforest.net
177,http://picasa.google.com
178,http://google.ca
179,http://pixabay.com
180,http://bp2.blogger.com
181,http://akamaihd.net
182,http://unesco.org
183,http://google.co.in
184,http://usnews.com
185,http://goo.ne.jp
186,http://thetimes.co.uk
187,http://shutterstock.com
188,http://gmail.com
189,http://gooyaabitemplates.com
190,http://windowsphone.com
191,http://alibaba.com
192,http://abc.es
193,http://rtve.es
194,http://ytimg.com
195,http://secureserver.net
196,http://sky.com
197,http://www.weebly.com
198,http://kickstarter.com
199,http://ox.ac.uk
200,http://ovh.com
201,http://ucoz.ru
202,http://stackoverflow.com
203,http://urbandictionary.com
204,http://loc.gov
205,http://cpanel.com
206,http://psychologytoday.com
207,http://photos1.blogger.com
208,http://gofundme.com
209,http://independent.co.uk
210,http://lemonde.fr
211,http://berkeley.edu
212,http://nokia.com
213,http://www.over-blog.com
214,http://pl.wikipedia.org
215,http://e-recht24.de
216,http://cornell.edu
217,http://google.nl
218,http://entrepreneur.com
219,http://mozilla.com
220,http://intel.com
221,http://imageshack.us
222,http://4shared.com
223,http://skype.com
224,http://vkontakte.ru
225,http://welt.de
226,http://it.wikipedia.org
227,http://instructables.com
228,http://nature.com
229,http://parallels.com
230,http://bit.ly
231,http://storage.canalblog.com
232,http://metro.co.uk
233,http://cnbc.com
234,http://viglink.com
235,http://latimes.com
236,http://sapo.pt
237,http://get.google.com
238,http://disney.com
239,http://vice.com
240,http://eventbrite.com
241,http://wp.com
242,http://abcnews.go.com
243,http://dw.com
244,http://wikihow.com
245,http://stanford.edu
246,http://blackberry.com
247,http://netvibes.com
248,http://bp0.blogger.com
249,http://google.pl
250,http://ru.wikipedia.org
251,http://rambler.ru
252,http://sciencemag.org
253,http://smh.com.au
254,http://pbs.org
255,http://allaboutcookies.org
256,http://mysql.com
257,http://bitly.com
258,http://npr.org
259,http://who.int
260,http://cambridge.org
261,http://depositfiles.com
262,http://rottentomatoes.com
263,http://bund.de
264,http://economist.com
265,http://ea.com
266,http://about.me
267,http://twitch.tv
268,http://wpfr.net
269,http://000webhost.com
270,http://sendspace.com
271,http://repubblica.it
272,http://mashable.com
273,http://ovh.net
274,http://ikea.com
275,http://webmd.com
276,http://newsweek.com
277,http://qq.com
278,http://ovh.co.uk
279,http://lycos.com
280,http://twitter.com
281,http://photobucket.com
282,http://sciencedirect.com
283,http://ibm.com
284,http://xinhuanet.com
285,http://stores.jp
286,http://goodreads.com
287,http://mit.edu
288,http://t.co
289,http://worldbank.org
290,http://nypost.com
291,http://aboutads.info
292,http://ig.com.br
293,http://academia.edu
294,http://fortune.com
295,http://addtoany.com
296,http://bt.com
297,http://theverge.com
298,http://bandcamp.com
299,http://time.com
300,http://hm.com
301,http://undeveloped.com
302,http://gravatar.com
303,http://nhk.or.jp
304,http://marriott.com
305,http://rapidshare.com
306,http://search.google.com
307,http://express.co.uk
308,http://ja.wikipedia.org
309,http://walmart.com
310,http://ign.com
311,http://abc.net.au
312,http://surveymonkey.com
313,http://marketingplatform.google.com
314,http://chicagotribune.com
315,http://shopify.com
316,http://buzzfeed.com
317,http://office.com
318,http://zdnet.com
319,http://umich.edu
320,http://sciencedaily.com
321,http://nydailynews.com
322,http://googleblog.com
323,http://mirror.co.uk
324,http://weibo.com
325,http://naver.com
326,http://asus.com
327,http://cisco.com
328,http://gizmodo.com
329,http://clickbank.net
330,http://a8.net
331,http://sedo.com
332,http://finance.yahoo.com
333,http://britannica.com
334,http://www.wikipedia.org
335,http://princeton.edu
336,http://quora.com
337,http://adssettings.google.com
338,http://bp3.blogger.com
339,http://ask.fm
340,http://yahoo.co.jp
341,http://dell.com
342,http://naver.jp
343,http://nginx.org
344,http://xbox.com
345,http://my.yahoo.com
346,http://huffpost.com
347,http://foursquare.com
348,http://cbc.ca
349,http://search.yahoo.com
350,http://doubleclick.net
351,http://tripadvisor.com
352,http://plesk.com
353,http://guardian.co.uk
354,http://ndtv.com
355,http://box.com
356,http://ria.ru
357,http://columbia.edu
358,http://wiley.com
359,http://www.livejournal.com
360,http://espn.com
361,http://iubenda.com
362,http://indiatimes.com
363,http://ameblo.jp
364,http://stuff.co.nz
365,http://standard.co.uk
366,http://sfgate.com
367,http://csmonitor.com
368,http://ca.gov
369,http://kinja.com
370,http://dribbble.com
371,http://prestashop.com
372,http://trustpilot.com
373,http://biglobe.ne.jp
374,http://detik.com
375,http://wbs-law.de
376,http://connect.over-blog.com
377,http://nginx.com
378,http://oreilly.com
379,http://wiktionary.org
380,http://weather.com
381,http://target.com
382,http://gen.xyz
383,http://t-online.de
384,http://one.com
385,http://researchgate.net
386,http://hollywoodreporter.com
387,http://calameo.com
388,http://symantec.com
389,http://lifehacker.com
390,http://scoop.it
391,http://behance.net
392,http://spotify.com
393,http://oup.com
394,http://people.com.cn
395,http://politico.com
396,http://zippyshare.com
397,http://dropboxusercontent.com
398,http://zendesk.com
399,http://pagesjaunes.fr
400,http://house.gov
401,http://tmz.com
402,http://icann.org
403,http://utexas.edu
404,http://e-monsite.com
405,http://noaa.gov
406,http://newyorker.com
407,http://sina.com.cn
408,http://corriere.it
409,http://quantcast.com
410,http://liveinternet.ru
411,http://youku.com
412,http://thedailybeast.com
413,http://ftc.gov
414,http://thenextweb.com
415,http://narod.ru
416,http://xing.com
417,http://wattpad.com
418,http://howstuffworks.com
419,http://jstor.org
420,http://history.com
421,http://netsons.com
422,http://arxiv.org
423,http://calendar.google.com
