,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,p
0,24,16,24,24,,1,,,,,button,1.0
1,356,12,65,32,,1,,,,,button,1.0
2,469,16,24,24,,1,,,,,button,1.0
3,517,16,24,24,,1,,,,,button,1.0
4,565,16,24,24,,1,,,,,button,1.0
5,613,16,24,24,,1,,,,,button,1.0
6,353,248,68,48,,1,,,,,button,1.0
7,58,428,46,36,,1,,,,,button,1.0
8,140,428,36,36,,1,,,,,button,1.0
9,537,428,36,36,,1,,,,,button,1.0
10,573,428,36,36,,1,,,,,button,1.0
11,609,428,36,36,,1,,,,,button,1.0
12,645,428,36,36,,1,,,,,button,1.0
13,681,428,36,36,,1,,,,,button,1.0
14,395,520,20,20,,1,,,,,button,1.0
15,474,520,20,20,,1,,,,,button,1.0
16,541,520,20,20,,1,,,,,button,1.0
17,634,520,20,20,,1,,,,,button,1.0
18,710,512,40,40,,1,,,,,button,1.0
19,-216,16,24,24,,1,,,,,button,1.0
20,386,530,40,40,,1,,,,,button,1.0
21,205,15,149,26,,,,,,1,input,1.0
