,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_a,p
0,69,-34,152,24,,,,,,,a,1.0,1.0
1,620,-34,132,24,,,,,,,a,1.0,1.0
2,0,51,170,16,,,,,,,a,1.0,1.0
3,825,36,155,14,,,,,,,a,1.0,1.0
4,180,36,67,28,,,,,,,a,1.0,1.0
5,196,556,157,14,,,,,,,a,1.0,1.0
6,363,556,94,14,,,,,,,a,1.0,1.0
7,467,556,111,14,,,,,,,a,1.0,1.0
8,77,706,56,14,,,,,,,a,1.0,1.0
9,143,706,36,14,,,,,,,a,1.0,1.0
10,189,706,36,14,,,,,,,a,1.0,1.0
11,235,706,95,14,,,,,,,a,1.0,1.0
12,340,706,43,14,,,,,,,a,1.0,1.0
13,393,706,44,14,,,,,,,a,1.0,1.0
14,447,706,39,14,,,,,,,a,1.0,1.0
15,496,706,96,14,,,,,,,a,1.0,1.0
16,602,706,26,14,,,,,,,a,1.0,1.0
17,638,706,25,14,,,,,,,a,1.0,1.0
18,673,703,30,20,,,,,,,a,1.0,1.0
19,0,742,43,14,,,,,,,a,1.0,1.0
20,63,742,33,14,,,,,,,a,1.0,1.0
21,116,742,59,14,,,,,,,a,1.0,1.0
22,195,742,76,14,,,,,,,a,1.0,1.0
23,291,742,67,14,,,,,,,a,1.0,1.0
24,378,742,37,14,,,,,,,a,1.0,1.0
25,435,742,40,14,,,,,,,a,1.0,1.0
26,495,742,34,14,,,,,,,a,1.0,1.0
27,549,742,87,14,,,,,,,a,1.0,1.0
28,656,742,36,14,,,,,,,a,1.0,1.0
29,712,742,38,14,,,,,,,a,1.0,1.0
30,770,742,52,14,,,,,,,a,1.0,1.0
31,842,742,65,14,,,,,,,a,1.0,1.0
32,927,742,40,14,,,,,,,a,1.0,1.0
33,0,761,53,14,,,,,,,a,1.0,1.0
34,73,761,29,14,,,,,,,a,1.0,1.0
35,122,761,63,14,,,,,,,a,1.0,1.0
36,205,761,32,14,,,,,,,a,1.0,1.0
37,257,761,52,14,,,,,,,a,1.0,1.0
38,329,761,68,14,,,,,,,a,1.0,1.0
39,417,761,61,14,,,,,,,a,1.0,1.0
40,498,761,42,14,,,,,,,a,1.0,1.0
41,560,761,40,14,,,,,,,a,1.0,1.0
42,620,761,43,14,,,,,,,a,1.0,1.0
43,683,759,72,19,,,,,,,a,1.0,1.0
44,775,761,33,14,,,,,,,a,1.0,1.0
45,828,761,88,14,,,,,,,a,1.0,1.0
46,0,780,55,14,,,,,,,a,1.0,1.0
47,75,780,25,14,,,,,,,a,1.0,1.0
48,120,778,1,1,,,,,,,a,1.0,1.0
49,140,778,1,1,,,,,,,a,1.0,1.0
50,0,13,170,55,,,1,,,,h1,,1.0
51,0,143,774,28,,,,1,,,h2,,1.0
52,752,204,228,30,,1,,,,,button,,1.0
53,753,96,228,32,,,,,,1,input,,1.0
54,753,145,228,32,,,,,,1,input,,1.0
