,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,330,30,114,50,,,,,,,img,1.0,1.0,
1,60,309,16,16,,,,,,,img,1.0,1.0,
2,60,30,16,35,,,,,,,a,,1.0,1.0
3,330,43,114,20,,,,,,,a,,1.0,1.0
4,60,305,16,20,,,,,,,a,,1.0,1.0
5,80,305,317,20,,,,,,,a,,1.0,1.0
6,69,405,371,42,,,,,,,a,,1.0,1.0
7,69,466,373,20,,,,,,,a,,1.0,1.0
8,69,505,340,20,,,,,,,a,,1.0,1.0
9,69,544,387,42,,,,,,,a,,1.0,1.0
10,69,605,381,42,,,,,,,a,,1.0,1.0
11,69,666,301,20,,,,,,,a,,1.0,1.0
12,69,705,304,20,,,,,,,a,,1.0,1.0
13,69,744,400,42,,,,,,,a,,1.0,1.0
14,69,805,362,42,,,,,,,a,,1.0,1.0
15,69,866,351,42,,,,,,,a,,1.0,1.0
16,69,927,402,20,,,,,,,a,,1.0,1.0
17,69,966,383,42,,,,,,,a,,1.0,1.0
18,69,1027,374,20,,,,,,,a,,1.0,1.0
19,69,1066,408,42,,,,,,,a,,1.0,1.0
20,69,1127,241,20,,,,,,,a,,1.0,1.0
21,69,1166,283,20,,,,,,,a,,1.0,1.0
22,69,1205,255,20,,,,,,,a,,1.0,1.0
23,69,1244,353,20,,,,,,,a,,1.0,1.0
24,69,1283,394,20,,,,,,,a,,1.0,1.0
25,69,1322,334,20,,,,,,,a,,1.0,1.0
26,69,1361,408,20,,,,,,,a,,1.0,1.0
27,69,1400,394,42,,,,,,,a,,1.0,1.0
28,69,1461,262,20,,,,,,,a,,1.0,1.0
29,69,1500,211,20,,,,,,,a,,1.0,1.0
30,69,1539,336,20,,,,,,,a,,1.0,1.0
31,69,1578,188,20,,,,,,,a,,1.0,1.0
32,512,230,201,32,,,,,,,a,,1.0,1.0
33,537,272,176,26,,,,,,,a,,1.0,1.0
34,512,318,201,54,,,,,,,a,,1.0,1.0
35,512,372,201,76,,,,,,,a,,1.0,1.0
36,512,448,201,54,,,,,,,a,,1.0,1.0
37,512,502,201,54,,,,,,,a,,1.0,1.0
38,512,556,201,32,,,,,,,a,,1.0,1.0
39,537,761,118,64,,,,,,,a,,1.0,1.0
40,729,1732,20,20,,,,,,,a,,1.0,1.0
41,224,1734,94,22,,,,,,,a,,1.0,1.0
42,338,1734,59,22,,,,,,,a,,1.0,1.0
43,418,1734,39,22,,,,,,,a,,1.0,1.0
44,478,1734,71,22,,,,,,,a,,1.0,1.0
45,-2999,1693,89,15,,,,,,,a,,1.0,1.0
46,-2907,1693,89,15,,,,,,,a,,1.0,1.0
47,-2815,1693,84,15,,,,,,,a,,1.0,1.0
48,-2728,1693,47,15,,,,,,,a,,1.0,1.0
49,-2679,1693,148,15,,,,,,,a,,1.0,1.0
50,-2529,1693,161,15,,,,,,,a,,1.0,1.0
51,-2365,1693,101,15,,,,,,,a,,1.0,1.0
52,-2261,1693,73,15,,,,,,,a,,1.0,1.0
53,-2186,1693,73,15,,,,,,,a,,1.0,1.0
54,-2111,1693,28,15,,,,,,,a,,1.0,1.0
55,60,156,427,32,,,,1,,,h2,,1.0,
56,60,351,220,32,,,,,,1,input,,1.0,
